date,open,high,low,close,volume,
2018/8/3,20370,20380,20150,20210,4238826,20210
2018/8/6,20240,20390,20150,20190,4522580,20190
2018/8/7,20280,20470,20220,20440,3344298,20440
2018/8/8,20450,20700,20350,20450,5015686,20450
2018/8/9,20320,20430,20170,20370,3699222,20370
2018/8/10,20370,20380,19750,19840,6407885,19840
2018/8/13,19510,19520,19000,19040,9078194,19040
2018/8/14,19360,19870,19340,19860,6945360,19860
2018/8/15,19900,19920,19450,19650,5592771,19650
2018/8/16,19150,19700,19060,19650,8805690,19650
2018/8/17,19850,19880,19690,19770,3814672,19770
2018/8/20,19690,19770,19520,19630,3475130,19630
2018/8/21,19480,19800,19360,19690,4835744,19690
2018/8/22,19650,19950,19540,19880,4719720,19880
2018/8/23,19990,20080,19920,19970,4587034,19970
2018/8/24,20140,20330,20070,20320,4966486,20320
2018/8/27,20470,20760,20450,20700,5557151,20700
2018/8/28,20980,21050,20710,20730,5581418,20730
2018/8/29,20750,21010,20740,20820,4828059,20820
2018/8/30,21130,21150,20770,20840,6556844,20840
2018/8/31,20560,20880,20500,20820,5489780,20820
2018/9/3,20750,20770,20520,20560,4258479,20560
2018/9/4,20640,20640,20370,20540,4413937,20540
2018/9/5,20480,20540,20300,20350,4930969,20350
2018/9/6,20130,20240,20050,20150,5257532,20150
2018/9/7,19900,19920,19590,19830,7987949,19830
2018/9/10,19760,20000,19740,19980,4715537,19980
2018/9/11,20100,20470,20080,20460,5675448,20460
2018/9/12,20550,20560,20210,20350,5422516,20350
2018/9/13,20410,20820,20400,20750,6274482,20750
2018/9/14,21060,21270,20990,21240,8006613,21240
2018/9/18,21180,21960,21140,21870,8824431,21870
2018/9/19,22500,22640,22350,22350,7913494,22350
2018/9/20,22490,22550,22150,22350,7089077,22350
2018/9/21,22700,22910,22520,22750,7402317,22750
2018/9/25,22700,22840,22600,22830,4529878,22830
2018/9/26,22960,23300,22920,23300,6161845,23300
2018/9/27,23120,23430,22820,22890,9113064,22890
2018/9/28,23390,23800,23280,23500,9099500,23500
2018/10/1,23600,23870,23510,23780,7430636,23780
2018/10/2,23990,24120,23670,23780,8943325,23780
2018/10/3,23670,23780,23320,23470,7195563,23470
2018/10/4,23740,23760,23110,23180,7491989,23180
2018/10/5,22830,23130,22730,22850,7309491,22850
2018/10/9,22390,22470,22180,22280,8352591,22280
2018/10/10,22340,22460,22050,22320,7436079,22320
