Date,Open,High,Low,Close,Adj Close,Volume
2006/5/17,16259.01953,16319.29981,16033.66016,16307.66992,16307.66992,147800
2006/5/18,16089.25,16139.13965,15914.38965,16087.17969,16087.17969,131800
2006/5/19,16041.17969,16166.33984,15925.69043,16155.4502,16155.4502,125000
2006/5/22,16254.55957,16268.50977,15837.25977,15857.87012,15857.87012,126400
2006/5/23,15722.04981,15776.2002,15582.86035,15599.2002,15599.2002,137300
2006/5/24,15676.63965,15907.2002,15508.50977,15907.2002,15907.2002,136200
2006/5/25,15809.33008,15849.23047,15644.62012,15693.75,15693.75,104500
2006/5/26,15827.87012,15970.75977,15819.32031,15970.75977,15970.75977,101900
2006/5/29,16111.54004,16111.54004,15885.07031,15915.67969,15915.67969,96700
2006/5/30,15920.79004,15937.91016,15814.83008,15859.4502,15859.4502,86400
2006/5/31,15660.87012,15660.87012,15442.53027,15467.33008,15467.33008,114500
2006/6/1,15603.25,15655,15417.50977,15503.74023,15503.74023,102500
2006/6/2,15600.28027,15789.30957,15266.96973,15789.30957,15789.30957,141200
2006/6/5,15719.30957,15784.9502,15622.75,15668.30957,15668.30957,89700
2006/6/6,15500.91992,15507.78027,15340.92969,15384.86035,15384.86035,96300
2006/6/7,15285.04981,15433.29004,15095.15039,15096.00977,15096.00977,122100
2006/6/8,14990.04004,14990.04004,14496.95996,14633.03027,14633.03027,171400
2006/6/9,14530.5,14825.48047,14389.30957,14750.83984,14750.83984,219300
2006/6/12,14685.45996,14845.04004,14580.87012,14833.00977,14833.00977,116000
2006/6/13,14650.58984,14658.23047,14218.59961,14218.59961,14218.59961,118500
2006/6/14,14084.51953,14458.82031,14045.53027,14309.55957,14309.55957,146000
2006/6/15,14453.33008,14593.84961,14417.7002,14470.75977,14470.75977,112600
2006/6/16,14679.34961,14976.66992,14679.34961,14879.33984,14879.33984,130200
2006/6/19,14815.86035,14918.59961,14772.13965,14860.34961,14860.34961,86300
2006/6/20,14811.11035,14845.70996,14621.87012,14648.41016,14648.41016,91800
2006/6/21,14712.86035,14713.42969,14482.95996,14644.25977,14644.25977,95000
2006/6/22,14812.16992,15138.46973,14812.16992,15135.69043,15135.69043,109000
2006/6/23,15001.76953,15126.51953,14865.57031,15124.04004,15124.04004,98100
2006/6/26,15080.23047,15216.78027,14987.76953,15152.40039,15152.40039,93200
2006/6/27,15165.62988,15207.37988,15095.11035,15171.80957,15171.80957,94000
2006/6/28,14998.00977,14998.00977,14824.79981,14886.11035,14886.11035,96500
2006/6/29,14981.7002,15137.58008,14975.78027,15121.15039,15121.15039,87700
2006/6/30,15333.09961,15521.21973,15333.09961,15505.17969,15505.17969,108900
2006/7/3,15573.34961,15617.21973,15513.29004,15571.62012,15571.62012,102700
2006/7/4,15677.04004,15710.38965,15617.80957,15638.5,15638.5,90900
2006/7/5,15504.16992,15584.62012,15479.92969,15523.94043,15523.94043,89600
2006/7/6,15455.17969,15460.83008,15278.17969,15321.40039,15321.40039,94600
2006/7/7,15428.32031,15437.04004,15276.15039,15307.61035,15307.61035,90400
2006/7/10,15149.91016,15555.42969,15079.74023,15552.80957,15552.80957,111300
2006/7/11,15485.25977,15498.2002,15333.58984,15473.82031,15473.82031,102100
2006/7/12,15405.41992,15463.71973,15169.15039,15249.32031,15249.32031,111400
2006/7/13,15127.74023,15370.34961,15053.61035,15097.9502,15097.9502,111800
2006/7/14,14914.00977,14997.4502,14815.90039,14845.24023,14845.24023,114200
2006/7/18,14714.17969,14747.2002,14437.24023,14437.24023,14437.24023,128100
2006/7/19,14503.83008,14625.63965,14456.42969,14500.25977,14500.25977,116200
2006/7/20,14713.55957,14962.12988,14705.42969,14946.83984,14946.83984,107000
2006/7/21,14825.16016,14867.80957,14784.24023,14821.25977,14821.25977,91100
2006/7/24,14700.58008,14851.91016,14560.66992,14794.5,14794.5,98400
2006/7/25,14970.59961,15078.36035,14948.36035,15005.24023,15005.24023,99300
2006/7/26,15065.57031,15108.13965,14882.66992,14884.07031,14884.07031,94600
2006/7/27,14883.5,15220.33008,14839.49023,15179.78027,15179.78027,109700
2006/7/28,15217.44043,15351.79004,15150.53027,15342.87012,15342.87012,112900
2006/7/31,15462.38965,15536.32031,15433.2002,15456.80957,15456.80957,109400
2006/8/1,15387.51953,15522.03027,15365.70996,15440.91016,15440.91016,93000
